image,caption
5897657716.jpg,a group of multi-ethnic young people sit in a circle on grass next to a hill .
116482438.jpg,a grandmother sitting in her room .
7945794766.jpg,a thrill seeker uses her arms for balance while crossing a beam suspended high above craggy rocks .
3174196837.jpg,four dogs running over snow covered grass .
4095018474.jpg,a man in a blue denim shirt sitting on a sidewalk with equipment to repair and shine shoes .
5721495953.jpg,a blond woman is handed an object from a man in a white shirt .
5352158457.jpg,a woman in a maroon shirt and a cowboy hat is riding a brown horse .
3303648823.jpg,a man wearing a red coat is skiing in the snow .
4262509387.jpg,a balding man in a suit and tie stands beside a large painting of a rough sea .
4688197510.jpg,a picture of a storefront with a few people passing by .
2236851350.jpg,"three men , two wearing white shirts , are beneath a red umbrella and watching the surroundings ."
132935994.jpg,an older fireman with an orange work suit holding a brown water hose .
2668574576.jpg,4 people are standing in front of a red brick building
2126242287.jpg,a young man is enjoying a salad for dinner in his home .
3163563871.jpg,a woman is hitting a tennis ball .
2955752229.jpg,"three people , one of them holding a trash bag , are walking along a beach ."
3213992947.jpg,a woman in a puffy red jacket poses for a picture at an ice skating rink .
4440674531.jpg,"a group of four men are walking along a beach , as a woman in a blue bikini looks on ."
3173461705.jpg,two blond dogs sniff one another .
4195751574.jpg,a woman preparing to glaze a bowl .
6936180661.jpg,skiers and snowboarders warm themselves by the fire while they talk .
3534512991.jpg,a man and a woman are posing for a photograph in front of a yellow flower-bed .
6989990004.jpg,a woman who has her feet kicked back on a couch wearing black sandals and a dress surfing the web on her laptop .
2620517927.jpg,a group of officers on motorcycles driving down a city road .
3673098366.jpg,a man putting cement on his foot .
473323374.jpg,a baby with blond curls and a blue shirt is crying .
1362128028.jpg,"on a hot day , three small kids sit in a big container filled with water ."
3184108879.jpg,young children running down a side street .
522486784.jpg,"two dogs , face to face , on a dirt road ."
4800159134.jpg,a ma on a crowded street wearing a mask on the back of his head .
5279027434.jpg,"there is a woman , who is all dressed up in a beautiful multicolored tutu with a tiara , doing a split in midair for a performance ."
2744690159.jpg,three brown dogs are in the water .
3359454244.jpg,"a man wearing glasses and shirt that says "" got rocks ? "" is flipping a pancake out of a frying pan ."
5929073261.jpg,"on stage , the innards of a piano are shown next to a man at a desk who is working on electronics , while a long-haired man is looking at a screen which shows "" 53 :11 "" ."
4353792374.jpg,one asian woman resting her head on another asian woman 's lap with two parasols behind them .
3429641260.jpg,a boy jumps near a brick structure .
3492734013.jpg,boy in yellow shirt getting picture taken surrounded by pigeons
3619324782.jpg,"a man and a woman are embracing each other facing each other , they both are wearing red clothing , the woman has a red dress on and the man is wearing a red shirt and black pants ."
1248953128.jpg,young girl in blue dress stepping over a soccer ball .
2898304260.jpg,the man in a white shirt is skateboarding .
182897345.jpg,four sports fans walking together with garbage bags on their heads that read c u b s .
3723850224.jpg,a man in tan pants laying on the ground in front of a lake .
3132760860.jpg,a wakeboarder is leaping into the air whilst holding onto a yellow rope .
3079073247.jpg,a man in a black and red jacket and helmet does a stunt on a motorbike .
3691800116.jpg,the three men are playing cricket .
4970493587.jpg,"men with their backs to the viewer and wearing orange vests with "" la cgt "" written on them march together ."
496129405.jpg,three dogs play in the grass .
4964694718.jpg,an african american man wearing a blue shirt and jeans is standing in front of a dj station .
2586028627.jpg,a small child wearing yellow rides his yellow bike in a city center .
457607803.jpg,a woman pouring a cup of tea .
2589728235.jpg,an angry looking woman standing on the sidewalk .
309954193.jpg,a man in a black suit is walking up a street carrying an accordion file and a cellphone .
5169300296.jpg,man and woman sort clothes together .
2680990587.jpg,a child pushes another that is sitting in a swing near playground equipment .
3118425885.jpg,a woman is eating fish at a restaurant .
6231017294.jpg,two asian martial artists work on their skills .
3728695560.jpg,"a man , baby , and child sit in front of a birthday cake ."
5435865134.jpg,a woman lounges in a sauna with her arms spread out and legs crossed .
1072153132.jpg,a dog is jumping to catch a object thrown at it .
3854366835.jpg,a man in a uniform is standing on the beach with a camera in his hands .
1193116658.jpg,a young girl rides a unicycle next to another riding a scooter on a busy street .
6040615333.jpg,a man dressed in black on the beach sitting under a red umbrella .
2095711097.jpg,there are several construction workers at the top of a building which is in the early stages of construction and has only gray bricks for walls .
3177468217.jpg,a dog jumps over a hurdle in the grass .
3505657604.jpg,two girls play in the shower with their clothes on .
3372167201.jpg,a large man and large woman sitting on a park bench with a bottle of soda between them .
3206999917.jpg,the dog walking through the snow is licking his nose .
2719343357.jpg,two teenagers at the beach playing in the sand
7024620109.jpg,a man is catching a ball in the middle of some sort of sport .
4681325639.jpg,man walking barefoot on the beach on what seems to be a very cloudy day .
4077598908.jpg,a group of african american males in lab coats looking through microscopes .
4516262474.jpg,a gray-haired old man wears a camera while looking at a copper statue .
4947854878.jpg,a man in a blue sweater and black pants exits a news and grocery store .
4349347144.jpg,"two guys at a skate park , one on a skateboard jumping a red colored obstacle , the other filming him ."
6901412.jpg,a man with a beard holds a pair of tongs at a restaurant table .
2568234923.jpg,a guitarist plays at a microphone with some drums visible past him .
6823748160.jpg,two toddlers play beside a snow-covered wood pile .
535313948.jpg,a man with a gray shirt is mowing the lawn while his son is doing the same only with a toy lawn mower .
7984431466.jpg,three fisherman on a dock
4879725156.jpg,this bandana clad woman is looking down at something while people are all around her .
2656890977.jpg,a small boy in blue shorts running down a sidewalk with flowers in the background
2066212078.jpg,two young children are walking hand in hand on an outdoor path .
3558683579.jpg,three men are playing basketball and one of them blocked the others shot while people play in the back .
311196733.jpg,a yellow muscle car is burning rubber while a man in the car with blond-hair looks at the tire .
8154861953.jpg,a man who is extreme biking down a trail .
2346564851.jpg,a young man and woman are at a dinner table with food in front of them .
4633636089.jpg,a man on a bicycle jumps from a ramp .
4640122587.jpg,"a woman staring at the camera from behind sunglasses , holding a bag and coffee cup ."
1446053356.jpg,two girls in soccer strips are playing on a sports field .
438106.jpg,several little girls are at a table painting .
4854721418.jpg,two chicken statues outside of a restaurant .
4303786905.jpg,two people looking at a structure outside of a tea room .
4688759944.jpg,a couple relaxing on the grass at a weir .
3302471503.jpg,a young boy with black framed glasses and a blue coat stands on the bus .
4448279884.jpg,a group of people are standing around a big bonfire .
2672634212.jpg,a woman in a pink shirt walking with a man walking in the other direction in the background .
4069607034.jpg,black school boys in uniforms make deals with a white man under the garage door .
3129043236.jpg,a lifeguard looks across the water from his tower .
335046671.jpg,many teenagers hanging out in a hang out spot talking .
4840394080.jpg,a woman running past a couple of people sitting down for lunch .
3457455611.jpg,small boy in striped shirt sliding out of green tube
4304534002.jpg,people sit and relax along the beach of a lake .
2658944258.jpg,two men between 2 classic cars playing accordions .
6498058475.jpg,"two men playing ball in a gym , with the player in the green shirt getting ready to pass the ball while the red shirted players is trying to overtake him ."
3663307538.jpg,people are sitting at square tables in a red room .
6476878653.jpg,kung fu people practicing in front of a small audience .
7181980147.jpg,man with red coat and pointy hair is blowing on a kazoo on stage .
2781093465.jpg,a man in blue coveralls stands on a red train .
3164415865.jpg,children are sledding down a snowy hill .
6315830428.jpg,a bicyclist is pushing hard to complete a race .
4982800224.jpg,a woman in an orange shirt and white pants at church .
4411079474.jpg,a man in a white shirt has his index finger raised .
2650485780.jpg,six children playing musical instruments and singing in what appears to be a church .
4437911722.jpg,a man in a red shirt and matching shoes skateboards off the top of a small building .
92679312.jpg,man and young boy singing together using microphones .
2456615908.jpg,the black dog is jumping over a fence with a bird in its mouth .
4053707091.jpg,father teaches her daughter to cook on a camping trip .
4982173955.jpg,two men are on a beach looking in the distance .
4544609414.jpg,two persons are examining a bicycle that is upside down on some asphalt in front of somebody 's yard and home .
4709236483.jpg,man in blue shirt walks his bike in busy china street .
3469585782.jpg,many people have arms lifted in a crowd .
4814949606.jpg,a man in a blue shirt hold his hand up while talking to two ladies in blue shirts .
4927040237.jpg,a man in a red shirt and jeans is lying down on a small ledge .
6141695796.jpg,"a young man peers intently into two pyrex containers , one of which is filled with several beakers ."
640290673.jpg,a group of people in yellow and black uniforms performing in front of a large crowd .
6691367427.jpg,"people changing into warmer clothes in snowy , cold weather near the water ."
4443087396.jpg,a cat is looking down from on top of a sign .
194970718.jpg,two well dressed men standing together in field
3353770555.jpg,a person wearing a red sweater vest is staring at pictures on a wall .
2569643552.jpg,two gray dogs fighting over a red toy .
2916770809.jpg,people are sitting behind a chain link fence watching a youth baseball game .
4735742933.jpg,a bald man leaning on a building with a young girl crouching and holding a bottle of liquid .
4861894586.jpg,students sit outside by a school bus .
4898656788.jpg,woman in a black skirt is walking with a handbag on her right shoulder .
3819214047.jpg,"a young man with a red beanie cap , green shirt , and blue jeans , sits on his skateboard as he watches ."
327142149.jpg,a dirt floor gets swept by one white and one black woman .
301814171.jpg,"group class for martial arts , some in uniform and some not , taking place in an outdoor facility ."
4138721052.jpg,a middle-aged man wearing a pandora hat is playing an old accordion .
1477503966.jpg,family in the kitchen around the counter .
1389156021.jpg,three kids in a martial arts class are in a stance ; each child has on a different color belt .
3722643122.jpg,a race car is smoking on the track .
2480664591.jpg,two people row a boat .
4511704373.jpg,two young kids playing lacrosse
3309092684.jpg,a woman in a pink sweater is smiling at the microphone .
469029994.jpg,a backpacker looks toward a foggy landscape .
7959752686.jpg,man with long pole that has a basket of fire on the tip outside in front of two elephants .
3354200211.jpg,a bunch of people walking down the street .
3287236038.jpg,a man and a woman hugging .
3669527584.jpg,a indian women displaying her cultural heritage with painted red fingers and an extravagant head piece .
7140546967.jpg,colorfully dressed jockeys riding their horses in a race .
2935703360.jpg,a dog is running in and out of a line of posts on an obstacle course .
2718024196.jpg,the boy in the swimming trunks is playing in the yard .
280940032.jpg,this person is wearing a welding mask .
4640122705.jpg,a man wearing black pants jumps off his blue skateboard .
2415637042.jpg,five people are on their yard with two of them climbing a ladder to a tree in the background .
4851908792.jpg,two men in blue uniforms and rollerblades are speaking to a man in an alley .
4824819367.jpg,a young child playing in a fountain .
2985509443.jpg,a large mural inside a library .
3654674895.jpg,an african-american man is standing outside around other people getting ready to throw a dart .
6075614739.jpg,a man in a fluorescent green shirt stands on a city sidewalk .
1624055939.jpg,a little girl is posing on some pumpkins within an area surrounded by flowers .
4935046155.jpg,a woman with white shoes and a gray shirt looking at traffic .
4860408552.jpg,"man in red t-shirt and baseball cap viewed from above , he is has a pile of posters ."
3823369556.jpg,two preschool aged boys are looking at an old locomotive .
27499590.jpg,a sweaty guy singing into a microphone .
3148193539.jpg,three boys in green shirts and khaki pants are at the top of a slide .
4860102706.jpg,two asian young women walk through strip mall .
3561433412.jpg,a multicolor dog chasing after a ball across the grass .
2442581927.jpg,a man in a red jacket is bicycling down the road .
5738778049.jpg,a butcher is hard at work flaying a large fish .
4824522315.jpg,at least one woman and several men are standing around outside an office building .
118854260.jpg,a woman cutting construction paper for a detailed project .
3342264328.jpg,many people with numbered stickers on their shirts are walking and running in a 5k event .
2891943949.jpg,a woman in an orange jacket sits on a bench .
6420881115.jpg,one blue team and one white team are competing to win a sports game .
3256603992.jpg,man standing in the midst of plants is giving two thumbs up .
267015208.jpg,cars and people gathered in a city mall area .
3084018061.jpg,"five people are sitting in a bar , while a tv plays nearby ."
4524227478.jpg,a brunette woman wearing tennis shoes sitting on steps .
2879966085.jpg,a man holding a shovel above his head is posing in front of a campfire .
829798661.jpg,a young boy is either jumping on a trampoline or skateboarding and he is serious about it on a beautiful summer day .
3360930596.jpg,a man in red and black is hitting a soccer ball with his head .
4710536704.jpg,a man and a woman are standing in front of ticketing machine .
8001609110.jpg,"an older , bearded man play a small metal whistle while holding an oboe in his arm on a city street in font of a store window ."
2365507630.jpg,a woman with a black t-shirt and hat is playing the keyboard .
1119463452.jpg,a little girl swimming in a pool .
390894604.jpg,girl in red and black shirt sitting in front of a keyboard performing with other band members .
3856153247.jpg,a woman who is working try out the new yellow jacket
4718049113.jpg,two men standing on a tree near a large body of water .
116409198.jpg,a man eats near a tent in the snow .
1355450069.jpg,man without a shirt is climbing a rock .
4010233873.jpg,a man and a woman running .
6940278172.jpg,a guy is jumping over a bar with a pole in his hand .
3428985247.jpg,a man is using a tool on these long pieces of wood .
434642339.jpg,a black-haired male is playing a video system on his computer while wearing a watch .
2322046574.jpg,"two male soccer players standing on a field , with bottles of liquid at their feet , while one takes a sip ."
2652311904.jpg,the crowds of people fill the streets in town as they converse with each other .
2931759630.jpg,a man is elevated cutting steel beams .
243380205.jpg,a boy jumping off a trampoline into a lake .
2911107495.jpg,a skateboarder at dusk .
5477270023.jpg,two men who appear to be food vendors are pushing a red cart full of fruit .
812196663.jpg,a black boy and white boy in swimming trunks are hugging each other on a beach or lake .
3440160917.jpg,the child is carrying a basket of colored eggs and bending over with an egg in his hand .
2605095722.jpg,a man has removed his shoes while sitting on a bench in the park and watching the fountain .
4838570484.jpg,a large group of people standing around a sign for the oxford circus station and many are reading some sort of newspaper .
6986052122.jpg,a young woman wades across a stream carrying a box .
3863819063.jpg,"this man is fishing around a bunch of boats , he has n't caught one , yet ."
3522349685.jpg,small girl petting an animal .
640203018.jpg,a man riding a red motorbike near a large crowd of people by some tents .
2572712647.jpg,a group of young girls wearing blue tops and black skirts standing behind blue music stands .
514044663.jpg,man wearing a green sweatshirt and jeans falls off a ladder as three men watch .
3609027309.jpg,a little boy and a woman dancing .
1820795682.jpg,"a young women , dressed in a dark blue dance costume is participating in a cheer competition ."
106514190.jpg,a skier is overlooking a snow-covered mountain .
2430223532.jpg,dancers in white tops and black pants perform on stage .
1142283988.jpg,"blond embracing young man in pink costume , at event"
7896102900.jpg,a man in a black wetsuit is surfing .
1473250020.jpg,"a boy stands on a rock in a creek , holding a stick ."
3815355917.jpg,a car is loaded with items on the top .
4911020894.jpg,two kids sitting at a table eating .
4949723702.jpg,a child in a knight costume having his picture taken .
663377207.jpg,a man in a hard hat is working near a dumpster .
5311134561.jpg,"a lot of people are in a exercise class , riding bikes ."
3856990752.jpg,"a cop , and two females pose for a picture next to an officers vehicle"
2871984109.jpg,cheerleaders in blue and white are lined up on a football field in front of the end zone with a cameraman and spectators in the foreground .
354777556.jpg,workers are scattered among the scaffolding on an older building .
4483576244.jpg,two african american women are touching the naked cowboys buttocks while posing for a picture .
3705688385.jpg,boy throwing something into the ocean .
4642473548.jpg,some women ride in their boats by an area of grass and homes .
7958174552.jpg,two members of a wheelchair basketball team compete in the tip off .
2866529477.jpg,two boys wearing matching blue swim caps swim in a lake .
4641889254.jpg,"a short woman wearing a pink backpack over her front walks past a very tall man in a black jacket at the gubbängen metro station in stockholm , sweden ."
4979680901.jpg,a woman wearing a tan skirt is standing in front of a very big building .
1400424834.jpg,a woman standing by a wire fence on a sidewalk .
163804372.jpg,woman singing at a bar .
3998011916.jpg,two ladies with a baby talk in front of the subway train .
3244734844.jpg,a person in a blue jacket jumps off of a tan cement wall .
4584266249.jpg,two women with umbrellas are looking at a display .
4459460142.jpg,everyone is out of focus but a woman wearing black and blue .
4021647447.jpg,a woman with a red no sleeve shirt with black shorts is running .
462725077.jpg,two asian women selling items in their store .
3436313241.jpg,a black dog catches a red and blue tennis ball .
3363750526.jpg,this large black and white dog is running on the sand .
299181827.jpg,a girl is throwing a bucket of water on an older boy .
3959371388.jpg,a man in front of a cafe and bakery using his cellphone .
26833964.jpg,a black dog is standing on a street while a group of cars and a truck are parked in the background .
141139674.jpg,the boy in the blue shirt is swinging a baseball bat towards a ball as the boy in the red helmet waits to catch him out .
6523161021.jpg,a surfer in a wetsuit rides a wave .
3735801713.jpg,three men are watching the man in the cherry picker .
4821417441.jpg,two little boys with brown hair sit on the countertop and help stir the pots .
3353962769.jpg,a man in a blue jumpsuit popping a wheelie on a motorcycle .
6188883048.jpg,a girl in a white top and black shorts is touching a volleyball with both of her arms together .
287967163.jpg,two performers in front of a crowd in a city .
2447284966.jpg,a young boy in a team sweatshirt is in a sports stadium near blue seats swinging a red bat .
2690702549.jpg,four boys posing for a picture with pumped fists
4689487867.jpg,a man with a black north face vest and hat looks at items displayed .
5191902508.jpg,a person is kayaking on a river and is steering himself in between two large rocks .
275994851.jpg,a man sitting in a chair in the middle of a group of people .
1082478946.jpg,men in safety vests are working on a track .
2705920782.jpg,a woman looking at boxes of food in crates .
3299469102.jpg,a skier is jumping off a steep hillside covered with snow .
3028561714.jpg,the white and brown dog runs across the grass .
88279365.jpg,a young girl in snow gear feeds a bird from her hand in a forest in winter .
2782137321.jpg,a group of people are eating a meal outdoors together .
3164506129.jpg,"there is a woman sitting on a very shiny surface with her head bent down slightly , and some people further down from her sitting on the same surface ."
2545915119.jpg,man walking while using his phone and woman with shorts on crossing street .
493109089.jpg,a little boy in a red jacket plays on a jungle gym .
2387154171.jpg,a woman hugs a man outside while he is yawning .
755326139.jpg,the girl is leaning back and splashing water with her hair .
2623930900.jpg,a man with disheveled hair and facial hair in a crowd of people is smiling .
2988439935.jpg,"a player in a red uniform gets ready to kick the ball during a soccer match , as the crowd watches ."
2448270671.jpg,a brown dog is leaping over a fallen tree in the woods .
8025717431.jpg,girls playing soccer competitively in the grass .
4948995543.jpg,a group of people are cleaning out a shed and have a large garbage bin with them .
2744615692.jpg,a barefoot child is walking on the beach towards the ocean .
3331009729.jpg,the girl in the ski jacket is walking near the buildings .
4710230599.jpg,"a woman laying down in front of the doors to a grungy , yellow , red and green colored building ."
3054200086.jpg,a hockey player skates forward with the puck as an opponent watches from nearby on the ice rink .
1390654687.jpg,a man dressed in white is sitting and eating from a bowl .
6299253797.jpg,a group of children are looking into microscopes with two men observing .
3339586622.jpg,a woman in purple is on a purple bike wearing a blue and red helmet .
4894872733.jpg,street construction happening near a hotdog stand .
7329247466.jpg,the boxer kicked his opponent on the side of the face knocking his mouth guard out during the fight .
3266261886.jpg,two sumo wrestlers wrestling .
192475213.jpg,a police officer is monitoring a by stander while guarding a building .
6332487919.jpg,a young woman wearing pink peering out from behind her veil .
4897473911.jpg,ladies standing up on the side of a board for the tuscany sun festival .
4727583716.jpg,farmers line up and tend to their cattle .
16396205.jpg,three men are cooking sausage on a grill .
1858123511.jpg,"asian workers , attempting to clean up piles of rubble ."
17840997.jpg,two indian guys lounging outside .
3134214072.jpg,a lady with a basket and a pink bag sitting outside needling .
3632197966.jpg,dirt bikes get airborne at a racetrack .
4451567464.jpg,women standing in doorway at night next to train tracks
3945005060.jpg,a woman with glasses is sitting in front of her laptop in a library .
3439382048.jpg,a man reaches toward dunking a basketball while an audience watches .
5957177594.jpg,an athlete remains focused as he jumps over hurdles .
6961930082.jpg,getting things ready for the crowd at the spanish food restaurant in ny .
2690960083.jpg,a girl dressed in orange talking .
4184328304.jpg,little boy sitting outside looking at lit up jack-o-lanterns .
2185325305.jpg,a group of children sit on the floor and work on a project contained in a black garbage bag .
3957644036.jpg,a bride and groom walk on a path through grass while another couple follows behind them .
3439243433.jpg,a white dog standing on fallen leaves .
3788779998.jpg,two asian children are standing at the foot of a tree together .
151198526.jpg,a group of rollerskaters in a public venue form a skating conga line .
135200870.jpg,a toddler with eggs in a bowl .
2603792708.jpg,two people walking on the beach at sunset .
7456119772.jpg,a person wearing goggles with a white strap and short blond-hair swims in a pool .
6888808971.jpg,a postal carrier with a big smile stands on the sidewalk with his cart of mail .
4798886213.jpg,a woman wearing a hooded jacket over a striped sweater is rollerskating with other people .
2126230680.jpg,"two men inside a boxing ring , one with red headgear and one with blue headgear , are engaged in a boxing match ."
